subject,sentence,context,sentence_length,maxF0,meanF0,keyword
subj1_shorten_mono,all the moms didn't allow eyeliner,all > not,2099.089,153.4691183,114.878847,eyeliner
subj1_shorten_mono,all the moms didn't allow eyeliner,not > all,2157.257,137.5101651,107.0231582,eyeliner
subj1_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2341.139,232.3142542,123.7946085,musical 
subj1_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2049.643,144.4563896,113.2123673,musical 
subj1_shorten_mono,all the woollining wasn't worn,not > all,1814.085,156.9067564,115.1573829,wool
subj1_shorten_mono,all the woollining wasn't worn,all > not,1768.958,140.6607223,113.5821897,wool
subj1_shorten_mono,Liam doens't know many alumni,not > most/many,1788.922,234.3994691,116.934508,alumnus
subj1_shorten_mono,Liam doesn't know many alumni,most/many > not,1916.634,247.5444291,116.5675151,alumnus
subj1_shorten_mono,all the magnolias won't bloom,not > all,1564.361,125.4421714,110.425006,magnolia
subj1_shorten_mono,all the magnolias won't bloom,all > not,1496.563,265.870124,120.0091443,magnolia
subj2_shorten_mono,all the magnolias won't bloom,not > all,1942.716,274.6073686,153.0128091,magnolia
subj2_shorten_mono,all the magnolias won't bloom,all > not,1924.387,263.0076103,155.7179643,magnolia
subj2_shorten_mono,Liam doesn't know many alumni,most/many > not,2284.741,241.2676673,173.8786792,alumnus
subj2_shorten_mono,Liam doesn't know many alumni,not > most/many,2033.393,241.1353453,172.1393064,alumnus
subj2_shorten_mono,all the woollining wasn't worn,all > not,1985.759,229.319255,177.5900619,wool
subj2_shorten_mono,all the woollining wasn't worn,not > all,1833.7,286.4765013,168.4202813,wool
subj2_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2415.384,246.6261682,169.2898819,musical 
subj2_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2382.256,255.9875273,174.3250768,musical 
subj2_shorten_mono,all the moms didn't allow eyeliner,not > all,2101.686,269.444033,154.1017852,eyeliner
subj2_shorten_mono,all the moms didn't allow eyeliner,all > not,2193.405,238.5270341,152.8767852,eyeliner
subj3_shorten_mono,all the magnolias won't bloom,not > all,1808.047,199.709759,111.4512816,magnolia
subj3_shorten_mono,all the magnolias won't bloom,all > not,2345.964,167.1202817,103.4476851,magnolia
subj3_shorten_mono,Liam doesn't know many alumni,most/many > not,1999.976,164.2550583,110.1439263,alumnus
subj3_shorten_mono,Liam doesn't know many alumni,not > most/many,2107.963,181.2314237,133.6102191,alumnus
subj3_shorten_mono,all the woollining wasn't worn,all > not,2050.809,163.920167,119.7493183,wool
subj3_shorten_mono,all the woollining wasn't worn,not > all,2204.673,210.8716592,111.3451581,wool
subj3_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,3050.973,257.0855346,178.5669311,musical 
subj3_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2457.324,220.3727435,127.8337254,musical 
subj3_shorten_mono,all the moms didn't allow blank eyeliner,not > all,2598.048,237.4741195,112.8178799,eyeliner
subj3_shorten_mono,all the moms didn't allow eyeliner,all > not,2415.847,166.3375648,117.0769099,eyeliner
subj4_shorten_mono,all the magnolias won't bloom,not > all,1904.17,189.103663,121.9619626,magnolia
subj4_shorten_mono,all the magnolias won't bloom,all > not,1687.149,137.2651674,111.4051603,magnolia
subj4_shorten_mono,Liam doesn't know many alumni,most/many > not,2121.536,218.1248979,126.7585092,alumnus
subj4_shorten_mono,Liam doesn't know many alumni,not > most/many,1722.521,201.8027541,136.2492703,alumnus
subj4_shorten_mono,all the woollining wasn't worn,all > not,1911.802,190.0074904,122.4046272,wool
subj4_shorten_mono,all the woolling wasn't worn,not > all,1824.244,180.2979191,121.9576445,wool
subj4_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2169.13,192.5679381,139.0736048,musical 
subj4_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2169.942,186.5733431,134.0983898,musical 
subj4_shorten_mono,all the moms didn't allow eyeliner,not > all,2203.779,155.7207073,108.7443508,eyeliner
subj4_shorten_mono,all the moms didn't allow eyeliner,all > not,2294.767,179.813621,117.5315529,eyeliner
subj5_shorten_mono,all of the magnolias won't bloom,not > all,1987.817,295.2082904,213.0882736,magnolia
subj5_shorten_mono,all the magnolias won't bloom,all > not,1468.496,365.3565958,226.4181773,magnolia
subj5_shorten_mono,Liam doesn't know many alumni,most/many > not,1748.658,341.9343549,220.9702692,alumnus
