subject,sentence,context,sentence_length,maxF0,meanF0,keyword,last_word_len
subj1_shorten_mono,all the moms didn't allow eyeliner,all > not,2099.089,153.4691183,114.878847,eyeliner,500.203
subj1_shorten_mono,all the moms didn't allow eyeliner,not > all,2157.257,137.5101651,107.0231582,eyeliner,704.18
subj1_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2341.139,232.3142542,123.7946085,musical ,766.614
subj1_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2049.643,144.4563896,113.2123673,musical ,768.201
subj1_shorten_mono,all the woollining wasn't worn,not > all,1814.085,156.9067564,115.1573829,wool,345.613
subj1_shorten_mono,all the woollining wasn't worn,all > not,1768.958,140.6607223,113.5821897,wool,331.756
subj1_shorten_mono,Liam doens't know many alumni,not > most/many,1788.922,234.3994691,116.934508,alumnus,625.012
subj1_shorten_mono,Liam doesn't know many alumni,most/many > not,1916.634,247.5444291,116.5675151,alumnus,684.157
subj1_shorten_mono,all the magnolias won't bloom,not > all,1564.361,125.4421714,110.425006,magnolia,372.215
subj1_shorten_mono,all the magnolias won't bloom,all > not,1496.563,265.870124,120.0091443,magnolia,265.278
subj2_shorten_mono,all the magnolias won't bloom,not > all,1942.716,274.6073686,153.0128091,magnolia,487.895
subj2_shorten_mono,all the magnolias won't bloom,all > not,1924.387,263.0076103,155.7179643,magnolia,388.328
subj2_shorten_mono,Liam doesn't know many alumni,most/many > not,2284.741,241.2676673,173.8786792,alumnus,635.048
subj2_shorten_mono,Liam doesn't know many alumni,not > most/many,2033.393,241.1353453,172.1393064,alumnus,746.561
subj2_shorten_mono,all the woollining wasn't worn,all > not,1985.759,229.319255,177.5900619,wool,498.972
subj2_shorten_mono,all the woollining wasn't worn,not > all,1833.7,286.4765013,168.4202813,wool,513.925
subj2_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2415.384,246.6261682,169.2898819,musical ,747.803
subj2_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2382.256,255.9875273,174.3250768,musical ,766.064
subj2_shorten_mono,all the moms didn't allow eyeliner,not > all,2101.686,269.444033,154.1017852,eyeliner,683.552
